$Z::    	    6
START:  	  732
RDYJSR: 	  736
ADRAYI: 	  738
ADRGAY: 	  741
USRPOK: 	  745
CHARAC: 	  753
ENDCHR: 	  755
COUNT:  	  756
DIMFLG: 	  759
VALTYP: 	  765
INTFLG: 	  768
DORES:  	  769
SUBFLG: 	  774
INPFLG: 	  781
TANSGN: 	  783
CNTWFL: 	  785
CHANNL: 	  793
NULCNT: 	  795
TRMPOS: 	  797
LINWID: 	  798
NCMWID: 	  799
LINNUM: 	  801
BUF:    	  808
TEMPPT: 	  818
LASTPT: 	  820
TEMPST: 	  821
INDEX1: 	  822
INDEX2: 	  824
RESHO:  	  825
RESMOH: 	  827
RESMO:  	  828
RESLO:  	  829
TXTTAB: 	  834
VARTAB: 	  837
ARYTAB: 	  842
STREND: 	  847
FRETOP: 	  851
FRESPC: 	  852
MEMSIZ: 	  853
CURLIN: 	  856
OLDLIN: 	  858
OLDTXT: 	  862
DATLIN: 	  864
DATPTR: 	  865
INPPTR: 	  869
VARNAM: 	  872
VARPNT: 	  873
FORPNT: 	  875
OPPTR:  	  880
OPMASK: 	  882
DEFPNT: 	  884
DSCPNT: 	  886
FOUR6:  	  888
JMPER:  	  891
TEMPF1: 	  895
HIGHDS: 	  897
HIGHTR: 	  898
TEMPF2: 	  899
LOWDS:  	  901
LOWTR:  	  902
FAC:    	  911
FACEXP: 	  912
FACHO:  	  913
FACMOH: 	  915
FACMO:  	  916
FACLO:  	  917
FACSGN: 	  918
SGNFLG: 	  919
BITS:   	  923
ARGEXP: 	  926
ARGHO:  	  927
ARGMO:  	  929
ARGLO:  	  930
ARGSGN: 	  931
ARISGN: 	  933
FACOV:  	  934
FBUFPT: 	  937
CHRGET: 	  961
CHRGOT: 	  964
QNUM:   	  968
CHRRTS: 	  976
RNDX:   	  978
LOFBUF: 	  985
FBUFFR: 	  988
STMDSP: 	  997
FUNDSP: 	 1054
USRLOC: 	 1058
USRLOC: 	 1060
COSFIX: 	 1071
SINFIX: 	 1072
TANFIX: 	 1073
ATNFIX: 	 1074
OPTAB:  	 1084
NEGTAB: 	 1098
NOTTAB: 	 1100
PTDORL: 	 1102
RESLST: 	 1112
ERRTAB: 	 1251
ERRTAB: 	 1293
ERR:    	 1351
INTXT:  	 1353
REDDY:  	 1355
BRKTXT: 	 1362
FNDFOR: 	 1371
FFLOOP: 	 1373
CMPFOR: 	 1382
ADDFRS: 	 1387
FFRTS:  	 1392
BLTU:   	 1413
BLTUC:  	 1416
BLT1:   	 1434
BLTLP:  	 1440
MOREN1: 	 1442
DECBLT: 	 1446
GETSTK: 	 1472
REASON: 	 1486
TRYMOR: 	 1491
REASAV: 	 1494
REASTO: 	 1500
REARTS: 	 1512
OMERR:  	 1516
ERROR:  	 1517
ERRCRD: 	 1526
GETERR: 	 1534
TYPERR: 	 1541
ERRFIN: 	 1543
READY:  	 1548
MAIN:   	 1556
MAIN1:  	 1567
QDECT1: 	 1598
MLOOP:  	 1603
NODEL:  	 1611
NODELC: 	 1625
STOLOP: 	 1634
FINI:   	 1638
LNKPRG: 	 1642
CHEAD:  	 1651
CZLOOP: 	 1655
LNKRTS: 	 1671
INLIN:  	 1682
GDBUFS: 	 1688
LOPBHT: 	 1692
NOCHR:  	 1697
LINLIN: 	 1702
INLINN: 	 1706
INLIN:  	 1710
INLINC: 	 1711
GOODCH: 	 1727
OUTBEL: 	 1737
FININ1: 	 1741
INCHR:  	 1742
INCHRL: 	 1746
INCRTS: 	 1770
CRUNCH: 	 1785
KLOOP:  	 1788
CMPSPC: 	 1795
KLOOP1: 	 1807
MUSTCR: 	 1811
RESER:  	 1817
RESPUL: 	 1818
RESCON: 	 1819
GETBPT: 	 1826
STUFFH: 	 1827
COLIS:  	 1837
NODATT: 	 1838
STR1:   	 1842
STRNG:  	 1846
NTHIS:  	 1850
NTHIS1: 	 1852
CRDONE: 	 1859
LISTRT: 	 1865
FNDLIN: 	 1879
FNDLNC: 	 1880
FNDLO1: 	 1892
AFFRTS: 	 1897
FLINRT: 	 1903
FLNRTS: 	 1904
SCRATH: 	 1909
SCRTCH: 	 1910
RUNC:   	 1922
CLEAR:  	 1927
CLEARC: 	 1934
FLOAD:  	 1941
STKINI: 	 1949
STKRTS: 	 1962
STXTPT: 	 1964
LIST:   	 1975
GOLST:  	 1979
LSTEND: 	 1988
LIST4:  	 1996
TSTDUN: 	 2013
TYPLIN: 	 2014
PRIT4:  	 2017
PLOOP:  	 2019
PLOOP1: 	 2024
GRODY:  	 2039
QPLOP:  	 2041
RESRCH: 	 2052
RESCR1: 	 2054
PRIT3:  	 2058
FOR:    	 2081
NOTOL:  	 2092
LDFONE: 	 2117
ONEON:  	 2124
NXTCON: 	 2127
NEWSTT: 	 2138
GONE:   	 2165
GONE3:  	 2168
GONE2:  	 2172
GLET:   	 2184
MORSTS: 	 2185
SNERR1: 	 2187
SNERRX: 	 2188
RESTOR: 	 2196
RESFIN: 	 2202
ISCRTS: 	 2203
ISCNTC: 	 2206
ISCNTC: 	 2213
ISCNTC: 	 2221
ISCCAP: 	 2225
STOP:   	 2227
END:    	 2228
STOPC:  	 2229
STPEND: 	 2238
DIRIS:  	 2240
ENDCON: 	 2242
GORDY:  	 2248
DDT:    	 2251
CONT:   	 2255
CONTRT: 	 2266
NULL:   	 2269
FCERR1: 	 2277
SAVE:   	 2282
RETSAV: 	 2293
GLOAD:  	 2297
TAPMES: 	 2299
